[step=11540] reward=-70.0 safe_moves=12.0 safe_tiles=30.0
[step=11670] reward=-76.0 safe_moves=5.0 safe_tiles=24.0
[step=11815] reward=-99.0 safe_moves=1.0 safe_tiles=1.0
[step=11947] reward=-97.0 safe_moves=3.0 safe_tiles=3.0
[step=12050] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=12196] reward=-94.0 safe_moves=6.0 safe_tiles=6.0
[step=12337] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=12492] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=12622] reward=-88.0 safe_moves=6.0 safe_tiles=12.0
[step=12767] reward=-80.0 safe_moves=4.0 safe_tiles=20.0
[step=12897] reward=-90.0 safe_moves=7.0 safe_tiles=10.0
[step=13029] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=13188] reward=-75.0 safe_moves=31.0 safe_tiles=25.0
[step=13351] reward=-95.0 safe_moves=5.0 safe_tiles=5.0
[step=13501] reward=-80.0 safe_moves=7.0 safe_tiles=20.0
[step=13662] reward=-86.0 safe_moves=10.0 safe_tiles=14.0
[step=13786] reward=-84.0 safe_moves=3.0 safe_tiles=16.0
[step=13928] reward=-99.0 safe_moves=1.0 safe_tiles=1.0
[step=14065] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=14211] reward=-80.0 safe_moves=16.0 safe_tiles=20.0
[step=14406] reward=-79.0 safe_moves=6.0 safe_tiles=21.0
[step=14537] reward=-99.0 safe_moves=1.0 safe_tiles=1.0
[step=14702] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=14838] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
Saved checkpoint: dqn-checkpoint-15000.pth
[step=15006] reward=-93.0 safe_moves=8.0 safe_tiles=7.0
[step=15187] reward=-93.0 safe_moves=11.0 safe_tiles=7.0
[step=15333] reward=-64.0 safe_moves=29.0 safe_tiles=36.0
[step=15494] reward=-82.0 safe_moves=4.0 safe_tiles=18.0
[step=15679] reward=-82.0 safe_moves=9.0 safe_tiles=18.0
[step=15887] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=16049] reward=-73.0 safe_moves=9.0 safe_tiles=27.0
[step=16259] reward=-94.0 safe_moves=9.0 safe_tiles=6.0
[step=16447] reward=-89.0 safe_moves=5.0 safe_tiles=11.0
[step=16645] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=16835] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=17025] reward=-97.0 safe_moves=3.0 safe_tiles=3.0
[step=17200] reward=-51.0 safe_moves=56.0 safe_tiles=49.0
[step=17428] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=17654] reward=-97.0 safe_moves=3.0 safe_tiles=3.0
[step=17853] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=18087] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=18281] reward=-96.0 safe_moves=4.0 safe_tiles=4.0
[step=18538] reward=-99.0 safe_moves=1.0 safe_tiles=1.0
[step=18772] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=19010] reward=-83.0 safe_moves=14.0 safe_tiles=17.0
[step=19254] reward=-68.0 safe_moves=45.0 safe_tiles=32.0
[step=19470] reward=-97.0 safe_moves=3.0 safe_tiles=3.0
[step=19687] reward=-78.0 safe_moves=17.0 safe_tiles=22.0
[step=19929] reward=-87.0 safe_moves=2.0 safe_tiles=13.0
Saved checkpoint: dqn-checkpoint-20000.pth
[step=20183] reward=-81.0 safe_moves=6.0 safe_tiles=19.0
[step=20424] reward=-85.0 safe_moves=4.0 safe_tiles=15.0
[step=20688] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=20950] reward=-80.0 safe_moves=9.0 safe_tiles=20.0
[step=21177] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=21407] reward=-69.0 safe_moves=17.0 safe_tiles=31.0
[step=21649] reward=-68.0 safe_moves=28.0 safe_tiles=32.0
[step=21883] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=22174] reward=-81.0 safe_moves=46.0 safe_tiles=19.0
[step=22532] reward=-66.0 safe_moves=80.0 safe_tiles=34.0
[step=22826] reward=-72.0 safe_moves=72.0 safe_tiles=28.0
[step=23174] reward=-71.0 safe_moves=75.0 safe_tiles=29.0
[step=23522] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=23845] reward=-84.0 safe_moves=17.0 safe_tiles=16.0
[step=24177] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=24566] reward=-72.0 safe_moves=72.0 safe_tiles=28.0
Saved checkpoint: dqn-checkpoint-25000.pth
